feature,category,rows,mean_shap
zip_code,446xx,10,-0.051235412563731195
zip_code,447xx,7,-0.0096357093551866935
zip_code,448xx,10,-0.066996869399068126
zip_code,449xx,3,-0.026324574579040739
zip_code,450xx,28,-0.024416680789683089
zip_code,451xx,4,-0.029739508183422088
zip_code,452xx,28,-0.036400708208560603
zip_code,453xx,20,-0.040620960871310507
zip_code,454xx,8,-0.035497647469765407
zip_code,456xx,6,-0.017366744768937542
zip_code,457xx,3,-0.017680760483622573
zip_code,458xx,14,-0.12449329059347862
zip_code,460xx,10,-0.026912965585609416
zip_code,461xx,26,-0.029927395429081925
zip_code,462xx,26,-0.030508833795358074
zip_code,463xx,28,-0.030415189390789372
zip_code,465xx,8,-0.032792652086318513
zip_code,466xx,8,-0.031709849947708937
zip_code,468xx,6,-0.034480416440347758
zip_code,469xx,10,-0.029266996415253183
zip_code,471xx,9,-0.027347760859941502
zip_code,473xx,8,-0.024672882747635946
zip_code,474xx,2,-0.031906410585082881
zip_code,477xx,4,-0.035530379821578209
zip_code,478xx,4,-0.029400624841319528
zip_code,479xx,1,-0.019300203874517641
zip_code,480xx,47,-0.016037729690221457
zip_code,481xx,57,0.022801074268414656
zip_code,482xx,25,0.11316128473634311
zip_code,483xx,36,-0.033913677322059382
zip_code,484xx,8,0.1372122658006856
zip_code,485xx,5,-0.023987765072140243
zip_code,486xx,7,0.29112215072326103
zip_code,487xx,3,-0.025159622862825009
zip_code,488xx,20,0.010674205187484746
zip_code,489xx,6,-0.031424224641284505
zip_code,490xx,10,-0.030594317330863874
zip_code,491xx,1,0.040529113054837203
zip_code,492xx,13,-0.0074496182516440952
zip_code,493xx,7,-0.0191709040572716
zip_code,494xx,16,-0.043311242141345623
zip_code,495xx,12,0.026496115233500189
zip_code,496xx,8,-0.022665542631665248
zip_code,497xx,3,-0.033299878859182029
zip_code,499xx,1,-0.020481893540365184
zip_code,530xx,18,-0.06952398530262853
zip_code,531xx,20,0.036628872421610489
zip_code,532xx,13,-0.01621936373428115
zip_code,534xx,5,0.012712073425718007
zip_code,535xx,16,-0.040009152123449285
zip_code,537xx,14,-0.038146973259567243
zip_code,538xx,1,-0.022460536387326844
zip_code,539xx,5,-0.03043921810582988
zip_code,540xx,4,-0.036368002906735419
zip_code,541xx,2,-0.029395205955911878
zip_code,542xx,4,-0.025827404681581193
zip_code,543xx,5,-0.030199861191896125
zip_code,544xx,5,0.039030405864296534
zip_code,545xx,3,-0.03020713582669592
zip_code,546xx,7,-0.030178976787584709
zip_code,547xx,4,-0.024295797684374308
zip_code,548xx,5,-0.023478930223330179
zip_code,549xx,16,0.088042019126566146
zip_code,550xx,22,-0.030561043117200041
zip_code,551xx,22,0.0074880377598376228
zip_code,553xx,37,0.057669527175252748
zip_code,554xx,36,-0.028202455307570502
zip_code,557xx,3,-0.025726786704262958
zip_code,558xx,4,-0.032748593304860435
zip_code,559xx,15,-0.027856721426909863
zip_code,560xx,7,-0.056123749501856182
zip_code,561xx,4,0.049192895541233385
zip_code,562xx,7,-0.033396199064145836
zip_code,563xx,8,-0.098115629407942398
zip_code,564xx,1,-0.041715541680602611
zip_code,565xx,5,-0.067106832827632329
zip_code,566xx,3,-0.028599229870294455
zip_code,570xx,7,-0.036737377585623059
zip_code,571xx,7,-0.025110265266141071
zip_code,572xx,1,-0.033739566782785113
zip_code,574xx,1,-0.029439824675816361
zip_code,577xx,3,-0.20304762539523494
zip_code,590xx,3,-0.029079631476917566
zip_code,591xx,6,-0.035003830228363515
zip_code,592xx,3,-0.030749425557144137
zip_code,593xx,1,-0.022745724617928995
zip_code,594xx,2,-0.037192212604639008
zip_code,596xx,3,-0.026400297841818899
zip_code,597xx,5,-0.01790465923247327
zip_code,598xx,5,-0.035533880278046562
zip_code,600xx,51,0.023768191578136318
zip_code,601xx,50,-0.054455079086805906
zip_code,602xx,1,-0.037189807167027827
zip_code,603xx,5,-0.03437468002102885
zip_code,604xx,51,0.0034892814316165276
zip_code,605xx,31,-0.16252696449959106
zip_code,606xx,89,-0.09582973803756778
zip_code,607xx,6,0.29622440219879231
zip_code,608xx,1,-0.02140984562597259
zip_code,609xx,1,-0.023849786335028992
zip_code,610xx,10,-0.03055508409148544
zip_code,611xx,9,0.041967473453754366
zip_code,612xx,2,-0.035237367549167564
zip_code,613xx,2,-0.032505990248286848
zip_code,614xx,1,-0.018888397578787013
zip_code,615xx,5,-0.028486148398506134
zip_code,616xx,5,-0.028865499763297737
